submission_id,trial_number,scenario,predicate,sentence_frame,RT,response
1845,5,move,heavy,together,5540,distributive
1845,6,move,heavy,bare,2484,distributive
1845,7,move,big,each,4818,distributive
1845,8,move,tall,bare,2352,distributive
1845,9,move,tall,together,3294,collective
1844,1,move,big,each,5354,distributive
1844,2,move,big,together,5029,collective
1844,3,move,tall,each,3112,distributive
1844,4,move,heavy,bare,4316,distributive
1844,5,move,heavy,together,4817,distributive
1844,6,move,tall,bare,3694,collective
1844,7,move,tall,together,2205,collective
1844,8,move,big,bare,4347,distributive
1844,9,move,heavy,each,4311,distributive
1843,1,inspect,tall,each,6718,collective
1843,2,inspect,tall,together,5823,collective
1843,3,inspect,big,each,4553,distributive
1843,4,inspect,heavy,together,3193,collective
1843,5,inspect,big,bare,4383,distributive
1843,6,inspect,heavy,bare,4136,distributive
1843,7,inspect,big,together,2447,collective
1843,8,inspect,heavy,each,2065,distributive
1843,9,inspect,tall,bare,5412,distributive
1842,1,inspect,tall,each,10467,distributive
1842,2,inspect,heavy,each,6959,distributive
1842,3,inspect,heavy,together,7795,distributive
1842,4,inspect,big,together,2889,collective
1842,5,inspect,tall,bare,5090,distributive
1842,6,inspect,big,bare,3499,distributive
1842,7,inspect,tall,together,2444,collective
1842,8,inspect,heavy,bare,3300,distributive
1842,9,inspect,big,each,5313,distributive
1841,1,move,big,bare,5170,distributive
1841,2,move,heavy,bare,3928,distributive
1841,3,move,tall,each,3040,distributive
1841,4,move,tall,bare,3910,distributive
1841,5,move,tall,together,2733,collective
1841,6,move,big,together,3159,collective
1841,7,move,big,each,2822,distributive
1841,8,move,heavy,together,4911,collective
1841,9,move,heavy,each,4080,distributive
1840,1,inspect,big,each,7688,distributive
1840,2,inspect,big,together,2595,distributive
1840,3,inspect,heavy,bare,7710,distributive
1840,4,inspect,heavy,together,5940,collective
1840,5,inspect,heavy,each,2124,distributive
1840,6,inspect,big,bare,3009,distributive
1840,7,inspect,tall,together,2987,collective
1840,8,inspect,tall,bare,1809,distributive
1840,9,inspect,tall,each,2620,distributive
1839,1,inspect,tall,each,4760,distributive
1839,2,inspect,heavy,each,2869,collective
1839,3,inspect,big,bare,3000,distributive
1839,4,inspect,heavy,together,2199,collective
1839,5,inspect,tall,bare,4199,distributive
1839,6,inspect,heavy,bare,2614,collective
1839,7,inspect,big,together,3512,collective
1839,8,inspect,big,each,1496,distributive
1839,9,inspect,tall,together,1072,collective
1838,1,inspect,heavy,bare,6106,collective
1838,2,inspect,big,together,3928,collective
1838,3,inspect,tall,each,1013,collective
1838,4,inspect,big,each,3116,distributive
1838,5,inspect,tall,bare,2264,distributive
1838,6,inspect,big,bare,1745,distributive
1838,7,inspect,heavy,each,4147,distributive
1838,8,inspect,tall,together,3098,collective
1838,9,inspect,heavy,together,2205,collective
1837,1,move,heavy,together,5070,distributive
1837,2,move,tall,bare,2851,collective
1837,3,move,heavy,bare,3036,distributive
1837,4,move,big,each,4933,collective
1837,5,move,heavy,each,2277,distributive
1837,6,move,tall,each,2297,collective
1837,7,move,big,together,2315,collective
1837,8,move,tall,together,1949,collective
1837,9,move,big,bare,1814,collective
1836,1,inspect,big,each,7098,distributive
1836,2,inspect,big,bare,11721,distributive
1836,3,inspect,heavy,bare,8605,distributive
1836,4,inspect,heavy,each,2684,distributive
1836,5,inspect,tall,each,3650,distributive
1836,6,inspect,tall,together,2640,collective
1836,7,inspect,heavy,together,2197,collective
1836,8,inspect,tall,bare,3260,collective
1836,9,inspect,big,together,2845,collective
1835,1,inspect,big,together,7870,collective
1835,2,inspect,heavy,bare,2970,distributive
1835,3,inspect,heavy,each,3507,distributive
1835,4,inspect,heavy,together,3999,distributive
1835,5,inspect,tall,together,2053,collective
1835,6,inspect,tall,each,4229,collective
1835,7,inspect,tall,bare,1911,collective
1835,8,inspect,big,bare,2100,collective
1835,9,inspect,big,each,1747,collective
1834,1,move,big,bare,3502,collective
1834,2,move,heavy,bare,1239,collective
1834,3,move,big,each,1087,collective
1834,4,move,big,together,1209,collective
1834,5,move,tall,together,784,collective
1834,6,move,heavy,together,2107,distributive
1834,7,move,heavy,each,2031,collective
1834,8,move,tall,bare,999,collective
1834,9,move,tall,each,2542,collective
1833,1,inspect,tall,bare,9632,distributive
1833,2,inspect,heavy,bare,14152,distributive
1833,3,inspect,heavy,together,9114,collective
1833,4,inspect,heavy,each,2201,distributive
1833,5,inspect,big,bare,3896,distributive
1833,6,inspect,big,together,1686,collective
1833,7,inspect,big,each,2350,distributive
1833,8,inspect,tall,each,2512,distributive
1833,9,inspect,tall,together,2412,collective
1832,1,inspect,heavy,together,17561,collective
1832,2,inspect,big,each,3240,distributive
1832,3,inspect,big,together,2492,collective
1832,4,inspect,tall,together,1763,collective
1832,5,inspect,big,bare,1681,distributive
1832,6,inspect,heavy,each,3913,collective
1832,7,inspect,tall,each,1889,collective
1832,8,inspect,tall,bare,2709,collective
1832,9,inspect,heavy,bare,2829,collective
1831,1,move,heavy,each,7400,distributive
1831,2,move,heavy,together,9060,collective
1831,3,move,heavy,bare,3815,collective
1831,4,move,tall,each,1894,distributive
1831,5,move,big,bare,2105,distributive
1831,6,move,tall,bare,1204,distributive
1831,7,move,big,each,1958,distributive
1831,8,move,big,together,2415,collective
1831,9,move,tall,together,1818,collective
1830,1,move,tall,bare,5882,distributive
1830,2,move,big,bare,5804,distributive
1830,3,move,tall,together,7307,collective
1830,4,move,big,together,14813,collective
1830,5,move,heavy,each,8282,distributive
1830,6,move,tall,each,2316,distributive
1830,7,move,heavy,together,6093,collective
1830,8,move,big,each,4649,distributive
1830,9,move,heavy,bare,12964,collective
1829,1,inspect,tall,together,10119,collective
1829,2,inspect,big,each,8243,collective
1829,3,inspect,big,together,4693,collective
1829,4,inspect,tall,bare,7329,distributive
1829,5,inspect,heavy,each,8422,distributive
1829,6,inspect,tall,each,3229,collective
1829,7,inspect,big,bare,3312,collective
1829,8,inspect,heavy,bare,5980,distributive
1829,9,inspect,heavy,together,3306,distributive
1828,1,move,big,together,10075,distributive
1828,2,move,big,bare,2971,distributive
1828,3,move,big,each,3592,distributive
1828,4,move,heavy,each,8291,distributive
1828,5,move,tall,each,2551,distributive
1828,6,move,tall,together,3192,collective
1828,7,move,tall,bare,2518,distributive
1828,8,move,heavy,bare,2231,distributive
1828,9,move,heavy,together,2823,collective
1827,1,inspect,tall,each,4728,collective
1827,2,inspect,big,each,4393,distributive
1827,3,inspect,big,bare,4255,distributive
1827,4,inspect,big,together,2719,collective
1827,5,inspect,heavy,together,3903,collective
1827,6,inspect,heavy,each,2383,distributive
1827,7,inspect,tall,bare,2588,distributive
1827,8,inspect,tall,together,1878,collective
1827,9,inspect,heavy,bare,4261,distributive
1826,1,inspect,tall,together,18821,distributive
1826,2,inspect,heavy,together,15510,collective
1826,3,inspect,tall,bare,5214,collective
1826,4,inspect,heavy,bare,6272,distributive
1826,5,inspect,big,bare,3219,distributive
1826,6,inspect,big,each,4865,distributive
1826,7,inspect,tall,each,2302,distributive
1826,8,inspect,heavy,each,3252,distributive
1826,9,inspect,big,together,3330,collective
1825,1,inspect,big,each,5222,distributive
1825,2,inspect,tall,bare,3911,distributive
1825,3,inspect,tall,each,2802,distributive
1825,4,inspect,tall,together,1525,collective
1825,5,inspect,heavy,each,6483,collective
1825,6,inspect,heavy,together,6729,distributive
1825,7,inspect,big,bare,3878,distributive
1825,8,inspect,big,together,2533,collective
1825,9,inspect,heavy,bare,4990,distributive
1824,1,move,tall,together,10658,collective
1824,2,move,heavy,bare,13767,distributive
1824,3,move,heavy,each,5469,distributive
1824,4,move,tall,bare,6962,collective
1824,5,move,big,bare,2136,distributive
1824,6,move,heavy,together,13404,collective
1824,7,move,big,each,2732,distributive
1824,8,move,tall,each,2732,distributive
1824,9,move,big,together,5952,collective
1823,1,inspect,big,bare,3845,distributive
1823,2,inspect,tall,bare,2317,distributive
1823,3,inspect,big,together,3125,collective
1823,4,inspect,tall,together,1875,collective
1823,5,inspect,tall,each,3343,distributive
1823,6,inspect,heavy,bare,3149,distributive
1823,7,inspect,big,each,3149,distributive
1823,8,inspect,heavy,together,2380,distributive
1823,9,inspect,heavy,each,3077,distributive
1822,1,inspect,big,together,5628,distributive
1822,2,inspect,heavy,together,8594,collective
1822,3,inspect,tall,together,4099,collective
1822,4,inspect,tall,each,2440,distributive
1822,5,inspect,tall,bare,6089,distributive
1822,6,inspect,heavy,each,2615,distributive
1822,7,inspect,big,bare,2457,distributive
1822,8,inspect,big,each,2239,distributive
1822,9,inspect,heavy,bare,2080,distributive
1821,1,move,heavy,together,14215,distributive
